Artist,Title,Medium,Medium_classified,Acquistion_classified,Year_acquisition,Gender_classified,Artist_birth_year,Artist_death_year,Country_calculated,Date_creation_year
Robert Wilhelm Ekman,"Kaksi soiton ja laulun jumalatarta, luonnos Helsingin Uudessa teatterissa olleita maalauksia varten, jotka tuhoutuivat teatterin palossa 1863",,painting,,,,1808,1873,,1860
Werner Holmberg,"Kallioinen pihamaa, jonka keskellä kasvaa mänty",,painting,,1890,,1830,1860,,1859
Robert Wilhelm Ekman,"Kristus ristillä, alttaritaululuonnos",,painting,,,,1808,1873,,1849
Werner Holmberg,"Rantamaisema, pieni rakennus rannalla",,graphics,,1890,,1830,1860,,1857
Johan Knutson,"Myrskylän kirkko, kuvitusta teokseen Finland framställdt i teckningar, vihko IX",,graphics,,,,1816,1899,,1847
Robert Wilhelm Ekman,"Osteria con cucina, Italialainen majatalo",,painting,,1888,,1808,1873,,1846
Robert Wilhelm Ekman,Taistelukohtaus,,graphics,,,,1808,1873,,
Eino Ruutsalo,,,new media,,,,1921,2001,,1976
,Näyttelijätär aurinkovarjoineen,,graphics,,1919,,,,,
Arnaldo Battistoni,Kylä,,graphics,,,,,,,1974
Hugo Simberg,Työreessä,,graphics,,,,1873,1917,,1899
Lennart Forstén,"Aittokoski, kuvitusta teokseen Finland framställdt i teckningar, vihko VI",,graphics,,,,1817,1886,,1847
Robert Wilhelm Ekman,Kansallispukuinen nainen,,painting,,,,1808,1873,,1840
Werner Holmberg,Norjalainen myllymaisema,,painting,,1890,,1830,1860,,1858
Robert Wilhelm Ekman,"Kosijoiden tulo, luonnos Kalevala-aiheiseen piirrossarjaan",,graphics,,,,1808,1873,,1860
Alphonse Legros,Satyyrin naamio,,graphics,,1919,,1837,1911,,
Robert Wilhelm Ekman,Seisova taalalaisnainen,,painting,,,,1808,1873,,1840
Robert Wilhelm Ekman,"Louhi pelastaa Väinämöisen, luonnos Kalevala-aiheiseen piirrossarjaan ; Väinämöisen ammunta (kaksipuolinen teos)",,graphics,,,,1808,1873,,1859
Hugo Simberg,Pianon ääressä,,graphics,,1919,,1873,1917,,1907
Werner Holmberg,Metsää ja seisovaa vettä,,graphics,,1890,,1830,1860,,1860
Katsushika Hokusai,Rajuilma vuoristossa,,graphics,,1919,,,,,
Robert Wilhelm Ekman,"Vänrikki Stool ja ylioppilas, luonnos",,painting,,,,1808,1873,,1852
Robert Wilhelm Ekman,Kangaspuut,,graphics,,,,1808,1873,,
Åke Hellman,Korpraali Björses,,,,,,1915,2017,,1942
Werner Holmberg,Puuryhmä,,graphics,,1890,,1830,1860,,1853
Arnaldo Battistoni,Kaksi tuolia interiöörissä,,graphics,,,,,,,1949
Robert Wilhelm Ekman,"Istuva mies oikea käsi rinnan päällä, kasvot poispäin kääntyneet",,graphics,,,,1808,1873,,
Robert Wilhelm Ekman,"Italialainen maalaistalo, vasemmalla tasanko ja sen taustalla vuori",,graphics,,,,1808,1873,,
Robert Wilhelm Ekman,Univormuharjoitelma,,painting,,,,1808,1873,,1847
Robert Wilhelm Ekman,"Ilmarinen ja Pohjan neito, luonnos Kalevala-aiheiseen piirrossarjaan",,graphics,,,,1808,1873,,1859
Robert Wilhelm Ekman,"Aino rannalla ; Originaalipiirustus piirrossarjaan ""Kalewala, Finsk National-dikt, framställd i teckningar af R.W.Ekman""",,graphics,,,,1808,1873,,1861
Werner Holmberg,"Mänty, jonka latva on murtunut",,graphics,,1890,,1830,1860,,1857
Ferdinand von Wright,Kaksi harjoitelmaa linnunjaloista,,graphics,,,,1822,1906,,
William Strang,"""Others say that Seth..."". Kuvitusta Izaak Waltonin ja Charles Cottonin The Compleat Agler",,graphics,,1919,,1859,1921,,1902
Robert Wilhelm Ekman,Taalalaistalonpoika kansallispuvussa,,graphics,,,,1808,1873,,1831
Werner Holmberg,Metsänsisusta,,painting,,1890,,1830,1860,,1858
Robert Wilhelm Ekman,"""Mora Tuna"", kansallispukuun pukeutunut seisova talonpokaistyttö",,graphics,,,,1808,1873,,
Paul Renouard,Lattialuukusta näyttämölle. Kohtaus oopperaesityksestä,,graphics,,1919,,1845,1924,,1880
Robert Wilhelm Ekman,"Väinämöinen Tuonelassa ; Originaalipiirustus piirrossarjaan ""Kalewala, Finsk National-dikt, framställd i teckningarnaf R.W.Ekman""",,graphics,,,,1808,1873,,1860
Werner Holmberg,"Maisema, jossa rikkinäinen pärekori ja istuva nainen",,painting,,1890,,1830,1860,,1859
Hugo Simberg,Exlibris Wolter Simberg II,,graphics,,,,1873,1917,,1899
Robert Wilhelm Ekman,"Kristus kantamassa ristiä, harjoitelma Turun tuomiokirkon freskoja varten",,graphics,,,,1808,1873,,1853
Robert Wilhelm Ekman,"Kyllikin ryöstö, luonnos Kalevala-aiheiseen piirrossarjaan",,graphics,,,,1808,1873,,1860
Joseph Uhl,Marion,,graphics,,1919,,,,,
Adolf von Becker,"Seisova vanha nainen sylivauva käsivarsillaan. Ylänurkassa punaliidulla piiretty vanha huivipäinen nainen juomassa vadilta (profiili, rintakuva)",,graphics,,,,1831,1909,,
Robert Wilhelm Ekman,"Maisema, jossa kaksi purjelaivaa ja taustalla vuori",,graphics,,,,1808,1873,,1831
Robert Wilhelm Ekman,Döbeln Juuttaalla. Kuvitusta Vänrikki Stålin tarinoihin,,graphics,,,,1808,1873,,1869
Robert Wilhelm Ekman,"Oluttynnyri, vasikannahkalaukku ja harava",,graphics,,,,1808,1873,,
Robert Wilhelm Ekman,"Pistooli kertoo, kohtaus Runebergin Jouluillasta, luonnos",,painting,,,,1808,1873,,
Robert Wilhelm Ekman,Kylämaisema,,graphics,,,,1808,1873,,
Robert Wilhelm Ekman,Lotta Svärd. Kuvitusta Vänrikki Stålin tarinoihin,,graphics,,,,1808,1873,,1869
Robert Wilhelm Ekman,"Pohjolan isännän surma, luonnos Kalevala-aiheiseen piirrossarjaan",,graphics,,,,1808,1873,,1864
Robert Wilhelm Ekman,Mies taalaispuvussa,,graphics,,,,1808,1873,,
Robert Wilhelm Ekman,"Talonpoikaistalon interiööri, jossa viisi henkilöä",,graphics,,,,1808,1873,,
Robert Wilhelm Ekman,Kaksi talonpoikaisnaista Joutsenosta,,painting,,,,1808,1873,,
Werner Holmberg,Kiviä ja kasveja puron varrella,,graphics,,1890,,1830,1860,,1848
Robert Wilhelm Ekman,"Joukko henkilöitä Albanossa, harjoitelma",,painting,,,,1808,1873,,
Anders Ekman,Miesvartalon anatominen lihastutkielma,,graphics,,1857,,1833,1855,,1848
Nunzio Gulino,Runoilijan työhuone,,painting,,,,,,,1997
Robert Wilhelm Ekman,Ratsuväen hyökkäys,,painting,,,,1808,1873,,
Robert Wilhelm Ekman,Pilven veikko. Kuvitusta Vänrikki Stålin tarinoihin,,graphics,,,,1808,1873,,1869
Robert Wilhelm Ekman,Apostolin pää ; keskeneräinen,,painting,,,,1808,1873,,
Robert Wilhelm Ekman,Harjoitelma kansallispuvun selkäpuolesta,,graphics,,,,1808,1873,,
Tuulikki Pietilä,Aamuhämärä (La Belle Époque),,graphics,,,,1917,2009,,1975
Anders Ekman,Jalka- ja käsitutkielmia,,graphics,,1857,,1833,1855,,1853
Robert Wilhelm Ekman,"Interiööri. Kirjoituspöytä ja nojatuoli, taustalla toiseen huoneeseen johtava avoin ovi.",,painting,,,,1808,1873,,1840
Robert Wilhelm Ekman,"Kolme räisäläläistä talonpoikaisnaista, yksi karrikoitu",,painting,,,,1808,1873,,
Hugo Simberg,Täti,,graphics,,,,1873,1917,,1897
Robert Wilhelm Ekman,Kuoleva soturi. Kuvitusta Vänrikki Stålin tarinoihin,,graphics,,,,1808,1873,,1869
Werner Holmberg,Metsänsisusta ; keskeneräinen,,painting,,1890,,1830,1860,,1858
Robert Wilhelm Ekman,Draperiaharjoitelma,,graphics,,,,1808,1873,,
Robert Wilhelm Ekman,Tanssi tuvassa,,painting,,,,1808,1873,,
Werner Holmberg,Nuori mänty,,graphics,,1890,,1830,1860,,1853
Tuulikki Pietilä,Kallioiden anatomia - Gloet,,graphics,,,,1917,2009,,1980
Robert Wilhelm Ekman,"Smålantilaiset lapset, tyttö lapsi sylissä sekä seisova poika vierellään",,graphics,,,,1808,1873,,1829
Robert Wilhelm Ekman,"Risukirve, puukannu ja pieni tynnyri",,graphics,,,,1808,1873,,
Robert Wilhelm Ekman,Jeesus ja syntinen nainen,,painting,,,,1808,1873,,
Robert Wilhelm Ekman,"Kristuksen kasvot, luonnos Helsingin Vanhan Kirkon alttaritaulua varten",,painting,,,,1808,1873,,
Werner Holmberg,Vanhan lehtipuun alaosa,,graphics,,1890,,1830,1860,,1858
Robert Wilhelm Ekman,"Interiööri, jossa kolme henkilöä: yksi sängyssä kahvia juomassa, yksi pöydän äärella puuroa syömässä ja yksi rukin luona.",,graphics,,,,1808,1873,,
Robert Wilhelm Ekman,Harjoitelma Lappveteläisen talonpoikaisnaisen puvusta,,painting,,,,1808,1873,,
Robert Wilhelm Ekman,Kolme naista interiöörissä,,graphics,,,,1808,1873,,
Ferdinand von Wright,"Karikatyyrejä; ihmisiä, joilla eläimen pää",,graphics,,,,1822,1906,,1880
Robert Wilhelm Ekman,Pukuharjoitelma alttaritaulua varten,,painting,,,,1808,1873,,
Ferdinand von Wright,Koira,,painting,,,,1822,1906,,1831
Robert Wilhelm Ekman,Seisova talonpoikaisnainen Joutsenosta,,painting,,,,1808,1873,,
Werner Holmberg,Pyhäjärvi,,graphics,,1890,,1830,1860,,1857
Robert Wilhelm Ekman,Döbeln Juuttaalla. Kuvitusta Vänrikki Stålin tarinoihin,,graphics,,,,1808,1873,,1869
Arnaldo Battistoni,Asetelma,,graphics,,,,,,,1944
Robert Wilhelm Ekman,"Kultaneidon taonta, luonnos Kalevala-aiheiseen piirrossarjaan ; Etupoulella olevan Ilmarisen hahmon harjoitelma (kaksipuolinen teos)",,graphics,,,,1808,1873,,1864
Tuulikki Pietilä,Kallioiden anatomia - Kivikkoa,,graphics,,,,1917,2009,,1980
Tuulikki Pietilä,Kallioiden anatomia - Kallioiden kuvajaisia,,graphics,,,,1917,2009,,1980
Robert Wilhelm Ekman,Istuva nuorukainen taalalaispuvussa,,graphics,,,,1808,1873,,
Werner Holmberg,Rikkonainen kallionkieleke pensaitten ympäröimänä,,painting,,1890,,1830,1860,,1859
Robert Wilhelm Ekman,Väinämöinen puhumassa makaavalle miehelle ; Luonnos Kalevalakuvitukseksi,,graphics,,,,1808,1873,,
Tuulikki Pietilä,Kallioiden anatomia - Kalliosaari,,graphics,,,,1917,2009,,1980
Ellen Thesleff,Harjoitelma (Ikaros?),,graphics,,,,1869,1954,,1950
Robert Wilhelm Ekman,"Hääparin tulo Ilmarisen kotiin, luonnos Kalevala-aiheiseen piirrossarjaan",,graphics,,,,1808,1873,,1860
Arnaldo Battistoni,Kylä,,graphics,,,,,,,1944
Nunzio Gulino,Verkon takana: unet,,graphics,,,,,,,1967
Ellen Thesleff,"Alaston naisfiguuri, harjoitelma",,graphics,,,,1869,1954,,1936
Robert Wilhelm Ekman,Poika Wingåkerista,,graphics,,,,1808,1873,,1849
Robert Wilhelm Ekman,Maalaismaisema,,graphics,,,,1808,1873,,
Robert Wilhelm Ekman,"Kristus Getsemanessa, alttaritaululuonnos",,painting,,,,1808,1873,,
Tuulikki Pietilä,Kirjainleikki,,graphics,,,,1917,2009,,1966
Anders Ekman,Elonkorjuun jumalatar Demeter,,painting,,1857,,1833,1855,,1848
Werner Holmberg,Myllypato,,painting,,1890,,1830,1860,,1858
Louis Sparre,Elli Tompuri,,graphics,,1919,,1863,1964,,1906
Tuulikki Pietilä,Ulkosaaristo - Tootis sund II,,graphics,,,,1917,2009,,1980
Robert Wilhelm Ekman,"Näkymä italialaisesta merenpoukamassa olevasta kaupungista, taustalla tulivuori",,graphics,,,,1808,1873,,
Robert Wilhelm Ekman,Garibaldi johdattaa Italian Kristuksen siunattavaksi,,painting,,,,1808,1873,,
Ellen Thesleff,"Miehen pää sivuprofiilissa, harjoitelma",,graphics,,,,1869,1954,,
Robert Wilhelm Ekman,Kirjaa lukeva koulupoika,,graphics,,,,1808,1873,,
Tuulikki Pietilä,Syksyn kuvastin,,graphics,,,,1917,2009,,1966
Werner Holmberg,"Maisema, vasemmalla tien takana lehtipuuryhmä, edessä oikealla avoin niitty",,painting,,1890,,1830,1860,,1848
Robert Wilhelm Ekman,Tyttö kansallispuvussa,,graphics,,,,1808,1873,,
Robert Wilhelm Ekman,Kutova ja seisova mummo,,graphics,,,,1808,1873,,
Robert Wilhelm Ekman,"Tuoliharjoitelmia, vakka ja aitta",,graphics,,,,1808,1873,,
Robert Wilhelm Ekman,Istuva mies,,graphics,,,,1808,1873,,
Robert Wilhelm Ekman,Monte di Portio,,graphics,,,,1808,1873,,
Ellen Thesleff,Kukkakimppu,,graphics,,,,1869,1954,,1908
Gordon Craig,"Mies kuutamossa, kuvitusta The Mask lehteen 1909, Vol. 2, nro 1-3, s. 3",,,,,,,,,1909
Gordon Craig,"Mies kalliolla, kuvitusta The Mask lehteen 1910, Vol. 3, nro 1-3, s. 1",,,,,,,,,1910
Robert Wilhelm Ekman,Italialainen maisema,,graphics,,,,1808,1873,,
Eero Järnefelt,Albert Edelfelt kuolinvuoteellaan,,graphics,,1935,,1863,1937,,1905
Gordon Craig,"Sfinksi ja pyramidi, kuvitusta The Mask lehteen 1911, Vol. 3, nro 10-12, s. 147",,,,,,,,,1911
Robert Wilhelm Ekman,Polvistunut apostoli,,painting,,,,1808,1873,,
Arnaldo Battistoni,Kylä,,graphics,,,,,,,1943
Robert Wilhelm Ekman,Sotavanhus. Kuvitusta Vänrikki Stålin tarinoihin,,graphics,,,,1808,1873,,1869
Robert Wilhelm Ekman,Kirjaa lukeva koulupoika,,graphics,,,,1808,1873,,
Robert Wilhelm Ekman,"Värväys hämäläisessä talonpoikaistuvassa, luonnos venäläiselle kruununperijälle 1851 maalattuun öljymaalaukseen.",,painting,,,,1808,1873,,1851
Tuulikki Pietilä,Kuplia (sarjasta Toiset maailmat),,graphics,,,,1917,2009,,1966
Robert Wilhelm Ekman,Kaksi luusta tappelevaa koiraa,,graphics,,,,1808,1873,,
Robert Wilhelm Ekman,Tuoli ja penkki,,graphics,,,,1808,1873,,
Gordon Craig,"Exlibris Jan C. de Vos, kuvitusta The Mask lehteen 1908, Vol. 1, nro 2, s. 51",,,,,,,,,1908
Tyko Sallinen,Merimaisema,,painting,,,,1879,1955,,1913
Robert Wilhelm Ekman,"Luonnos tauluun ""Pentti Lyytinen lukee runojaan""",,graphics,,,,1808,1873,,
Théodule Ribot,Särkynyt piippu,,graphics,,1919,,,,,1860
Werner Holmberg,Frithjof Federley juottaa kaivolla hevostaan,,painting,,1890,,1830,1860,,1859
Robert Wilhelm Ekman,Seisova taalalaisnainen sivulta,,painting,,,,1808,1873,,
Wilhelm von Wright,"Nainen, saali ja hattu",,painting,,,,1810,1887,,1820
Werner Holmberg,Metsäisen hiekkamäen läpi kulkeva tie,,graphics,,1890,,1830,1860,,1853
Robert Wilhelm Ekman,Istuva ruokolahtelainen talonpoikaistyttö,,painting,,,,1808,1873,,
Hugo Simberg,Omakuva I,,graphics,,,,1873,1917,,1897
Robert Wilhelm Ekman,"Chiesa Sta Maria miracolosa, Rocca di Papa. Vasemmalla kirkon fasadi, oikealla näkymä yli Albano-järven, Campagnan ja meren.",,graphics,,,,1808,1873,,
Ferdinand von Wright,Tilhi,,painting,,,,1822,1906,,1830
Johan Knutson,"Lempisaari, kuvitusta teokseen Finland framställdt i teckningar, vihkot XVIII ja XIX",,graphics,,,,1816,1899,,1848
Werner Holmberg,"Rantamaisema, jossa venettä maihin vetävä mies",,painting,,1890,,1830,1860,,1859
Robert Wilhelm Ekman,"AIHE Italiasta: Huivipäisen naisen rintakuva, profiili",,painting,,,,1808,1873,,1840
Lennart Forstén,"Luppiovaara Torniojien varrella, kuvitusta teokseen Finland framställdt i teckningar, vihkot XXII ja XXIII",,graphics,,,,1817,1886,,1848
Robert Wilhelm Ekman,"Väinämöisen ammunta ; Originaalipiirustus piirrossarjaan ""Kalewala, Finsk National-dikt, framställd i teckningar af R.W.Ekman""",,graphics,,,,1808,1873,,1860
Robert Wilhelm Ekman,Kohtaus öisellä tiellä,,painting,,,,1808,1873,,
Werner Holmberg,Maisema Leppälahdesta,,painting,,1890,,1830,1860,,1859
Adolf von Becker,Vanhahkon parrakkaan miehen muotokuva,,graphics,,,,1831,1909,,
Robert Wilhelm Ekman,Seisova tyttö lapsen kanssa,,graphics,,,,1808,1873,,
Werner Holmberg,Vanhat männyt,,graphics,,1890,,1830,1860,,1859
Gordon Craig,"Suuri pilvi, kuvitusta The Mask lehteen 1909, Vol. 2, nro 1-3, s. 191",,,,,,,,,1909
Robert Wilhelm Ekman,"Talonpoikaisnainen Kronoborgista, kaksi figuuriharjoitelmaa ja neljä päätä",,painting,,,,1808,1873,,
Werner Holmberg,Maalaistalon ulkorakennuksia,,painting,,1890,,1830,1860,,1859
Robert Wilhelm Ekman,"Nainen taalalainturkissa vauva sylissään, Naisen kasvoluonnoksia",,graphics,,,,1808,1873,,
Werner Holmberg,Mänty ; keskeneräinen,,painting,,1890,,1830,1860,,1857
Werner Holmberg,Aitta,,painting,,1890,,1830,1860,,1859
Wilhelm von Wright,"Fredrik von Wright, taiteilijan veli",,graphics,,,,1810,1887,,1844
Robert Wilhelm Ekman,Ihmisiä maisemassa,,painting,,,,1808,1873,,
Magnus von Wright,Palikaisten kartano Somerolla,,graphics,,1875,,1805,1868,,1846
Robert Wilhelm Ekman,Harjoitelmia Kaukolalaisista talonpoikaisnaisista kansallispuvuissa,,painting,,,,1808,1873,,
Robert Wilhelm Ekman,Luonnos tykkipurjeveneestä,,graphics,,,,1808,1873,,
Alfred William Finch,Näkymä Antinkadulta,,graphics,,1919,,1854,1930,,
Hugo Simberg,Luutamummo I,,graphics,,,,1873,1917,,1897
Werner Holmberg,Saniaisten päälle kaatunut kuusi ; Lehmä (kaksipuolinen teos),,painting,,1890,,1830,1860,,1859
Anders Ekman,Pojan pää,,painting,,1857,,1833,1855,,1854
William Strang,"""Sir Henry Wotton had doubtless written..."".Kuvitusta Izaak Waltonin ja Charles Cottonin The Compleat Agler",,graphics,,1919,,1859,1921,,1902
Robert Wilhelm Ekman,"Kullervo piirtää puuhun, luonnos Kalevala-aiheiseen piirrossarjaan",,graphics,,,,1808,1873,,1864
Werner Holmberg,Metsänsisusta,,painting,,1890,,1830,1860,,1859
Eero Järnefelt,Suomalainen talonpoika,,graphics,,1919,,1863,1937,,
Louis Valtat,Maisema,,painting,,,,1869,1952,,1900
Arnaldo Battistoni,Kukkia,,graphics,,,,,,,1968
Werner Holmberg,Männikkö lähellä järvenrantaa,,painting,,1890,,1830,1860,,1857
Robert Wilhelm Ekman,"Lemminkäinen ja Hiiden hevonen ; Originaalipiirustus piirrossarjaan ""Kalewala, Finsk National-dikt, framställd i teckningar af R.W.Ekman""",,graphics,,,,1808,1873,,1860
Ed Winkler,Metsänsisus,,graphics,,1919,,,,,1900
Robert Wilhelm Ekman,Castel Gandolfo,,graphics,,,,1808,1873,,
Robert Wilhelm Ekman,Maalalaistyttö,,graphics,,,,1808,1873,,
Robert Wilhelm Ekman,Sisäkuva keittiöstä,,painting,,,,1808,1873,,
Ellen Thesleff,Henkilöitä veneessä,,graphics,,,,1869,1954,,1923
Robert Wilhelm Ekman,"Kotka munii Väinämöisen polvelle ; Originaalipiirustus piirrossarjaan ""Kalewala, Finsk National-dikt, framställd i teckningar af R.W.Ekman""",,graphics,,,,1808,1873,,1859
Adolf von Becker,Vanhan parrakkaan miehen muotokuva,,graphics,,,,1831,1909,,
Robert Wilhelm Ekman,Kullervo katkoo kapalonsa,,graphics,,,,1808,1873,,
Robert Wilhelm Ekman,Lotta Svärd. Kuvitusta Vänrikki Stålin tarinoihin,,graphics,,,,1808,1873,,1869
Robert Wilhelm Ekman,Vihreä sohva,,painting,,,,1808,1873,,
Robert Wilhelm Ekman,"Pukuharjoitelma Helsingin Vanhan Kirkon alttaritaulua varten, polvistunut nainen",,painting,,,,1808,1873,,
Adolf von Becker,Luonnos maalaukseen Orpo / Isoäiti kehdon ääressä,,graphics,,,,1831,1909,,1874
Robert Wilhelm Ekman,"Maisema, jossa henkilöitä",,painting,,,,1808,1873,,1840
Werner Holmberg,Koivu,,graphics,,1890,,1830,1860,,1858
Anders Fredrik Granstedt,"Uusantiikkinen hautakammio, arkkitehtuuripiirustus",,graphics,,1857,,1800,1849,,
Robert Wilhelm Ekman,Luurankoharjoitelma jalasta ja säärestä,,graphics,,,,1808,1873,,
Nunzio Gulino,Sisäkuva,,painting,,,,,,,1994
Robert Wilhelm Ekman,"Apostolin pää, luonnos mahdollisesti Kristuksen kirkastus -aiheista alttaritaulua varten",,painting,,,,1808,1873,,
Felix Hollenberg,Alppimaisema,,graphics,,1919,,1868,,,
Robert Wilhelm Ekman,"Taalalaismiesten muotokuvapäitä Morasta, Leksandista, Rättvikistä ja ?",,painting,,,,1808,1873,,1840
Werner Holmberg,Männikkö lähellä järvenrantaa ; aloitettu öljymaalaus,,graphics,,1890,,1830,1860,,1857
Robert Wilhelm Ekman,Döbeln Juuttaalla. Kuvitusta Vänrikki Stålin tarinoihin,,graphics,,,,1808,1873,,1869
Robert Wilhelm Ekman,Väinämöinen käsi kohotettuna makaavan miehen edessä,,graphics,,,,1808,1873,,
P. A. Schou,Shakinpelaajat,,painting,,1953,,1844,1914,,1870
Robert Wilhelm Ekman,Morapukuinen talonpoikaispoika,,graphics,,,,1808,1873,,
Robert Wilhelm Ekman,Döbeln Juuttaalla. Kuvitusta Vänrikki Stålin tarinoihin,,graphics,,,,1808,1873,,1869
Robert Wilhelm Ekman,"Maisema Siljanista, Siljanin joki",,painting,,,,1808,1873,,1830
Robert Wilhelm Ekman,Mooralaispoika talvivaatteissa,,painting,,,,1808,1873,,1840
Ville Vallgren,Antoinette Vallgrenin rintakuva,,sculpture,,,,1855,1940,,1885
Ferdinand von Wright,"Kesy korppi ""Judas""",,painting,,,,1822,1906,,1834
Werner Holmberg,Jokimaisema,,graphics,,1890,,1830,1860,,1853
Hanna Frosterus-Segerstråle,Tytön pää,,painting,,1890,,1867,1946,,1890
Robert Wilhelm Ekman,Näkymä Ceroburosta,,graphics,,,,1808,1873,,1841
Robert Wilhelm Ekman,Kärryt,,graphics,,,,1808,1873,,
Leonard Lindeman,Torppa,,painting,,,,1855,1889,,
Arnaldo Battistoni,Kaksi figuuria interiöörissä,,graphics,,,,,,,1974
Werner Holmberg,"Metsäinen ja kallioinen maisema, etualalla aukea",,graphics,,1890,,1830,1860,,1855
Wilhelm von Wright,"Mina von Wright, taiteilijan sisar",,graphics,,,,1810,1887,,1844
Robert Wilhelm Ekman,"Katuva Magdaleena Kristuksen haudalla - ""ensimmäinen yö""",,graphics,,,,1808,1873,,
Ferdinand von Wright,"Naisen pää, harjoitelma veistoksen mukaan",,painting,,,,1822,1906,,1857
Werner Holmberg,Taiteilija Anders Ekmanin hauta,,graphics,,1890,,1830,1860,,1855
Mauri Favén,Aimo Kanerva (?),,graphics,,,,1920,2006,,1952
Werner Holmberg,Lehtimetsämaisema,,graphics,,1890,,1830,1860,,1848
Werner Holmberg,Sepän talo ja piha,,painting,,1890,,1830,1860,,1859
Werner Holmberg,Kulkulauta latoon,,painting,,1890,,1830,1860,,1859
Aligi Sassu,Näyttelijät,,graphics,,,,,,,1934
Magnus von Wright,"Hämeenlinna, originaalipiirustus teokseen Finland framställdt i teckningar",,graphics,,,,1805,1868,,1846
,Almanakka,,graphics,,,,1912,1976,,1974
Pehr Adolf Kruskopf,"Mieskonmäki, originaalipiirustus teokseen Finland framställdt i teckningar",,graphics,,,,1805,1852,,1844
Ernst Mether-Borgström,Häkki,,graphics,,2003,,1917,1996,,1957
Werner Holmberg,"Avoin maisemanäkymä, harjoitelma",,painting,,1890,,1830,1860,,1855
Pehr Adolf Kruskopf,Mustion kartano ja ruukki,,graphics,,1890,,1805,1852,,
Werner Holmberg,"Ruiskuhilaita, harjoitelma",,painting,,1890,,1830,1860,,1854
Werner Holmberg,"Kivikkoinen metsänsisusta, jossa on kaatuneita puita",,graphics,,1890,,1830,1860,,1857
Fredrik Ahlstedt,Malliharjoitelma,,graphics,,1908,,1839,1901,,1881
Werner Holmberg,"Maantien laitaa, tiellä valjastettu hevonen.",,graphics,,1890,,1830,1860,,1856
Werner Holmberg,"Talonpoikaistalo metsässä, Mäkkylä",,graphics,,1890,,1830,1860,,1848
Adolf von Becker,"Maisema, harjoitelma",,painting,,,,1831,1909,,1860
Werner Holmberg,"Metsämaisema, Juhtimäki",,graphics,,1890,,1830,1860,,1857
Werner Holmberg,Kaatuneen puun juuristo,,graphics,,1890,,1830,1860,,1857
Ferdinand von Wright,"Sinisorsa (heinäsorsa), koiras",,painting,,,,1822,1906,,1830
Werner Holmberg,"Metsämaisema, ristikkorakennus, lampi ja tie",,graphics,,1890,,1830,1860,,1854
Werner Holmberg,Kesäinen maisema Estholmenista Tammisaaren läheltä,,painting,,1890,,1830,1860,,1848
Tuulikki Pietilä,Rampa poika ja lintukauppias,,graphics,,,,1917,2009,,1952
